Lattice	 Distance	 Free energy
4.800000	3.506483	-127.04353741
4.810000	3.499981	-127.07918519
4.820000	3.539539	-127.10219971
4.830000	3.543312	-127.11991244
4.831000	3.546561	-127.12126699
4.832000	3.554726	-127.12216379
4.833000	3.551137	-127.12363472
4.834000	3.551754	-127.12482375
4.835000	3.546871	-127.12791595
4.836000	3.558724	-127.12851324
4.837000	3.582395	-127.13075719
4.838000	3.582523	-127.13152883
4.839000	3.562603	-127.13373752
4.840000	3.573967	-127.13106878
4.841000	3.545374	-127.12866189
4.842000	3.582353	-127.13402858
4.843000	3.558914	-127.13204147
4.844000	3.567460	-127.13137744
4.845000	3.602793	-127.13338832
4.846000	3.555069	-127.13477402
4.847000	3.602638	-127.13233054
4.848000	3.563799	-127.13388543
4.849000	3.599133	-127.13415757
4.850000	3.506066	-127.13727612
4.851000	3.514816	-127.13271819
4.852000	3.589942	-127.13149554
4.853000	3.500222	-127.13384442
4.854000	3.528647	-127.13282272
4.855000	3.564828	-127.13128259
4.856000	3.571144	-127.1264047
4.857000	3.588958	-127.12778887
4.858000	3.600258	-127.1265631
4.859000	3.585559	-127.12510903
4.860000	3.558762	-127.12128994
4.861000	3.586489	-127.12261994
4.862000	3.570283	-127.12157593
4.863000	3.590115	-127.12089905
4.864000	3.585428	-127.11710695
4.865000	3.562890	-127.11688011
4.866000	3.576274	-127.11650159
4.867000	3.540781	-127.11404089
4.868000	3.537468	-127.11152499
4.869000	3.557224	-127.10881987
4.870000	3.551781	-127.1104727
4.880000	3.523470	-127.08650088
